id,name,type,type_numeric,stars,location,num_of_reviews,Take Away,מסעדת שף,פתוח בפסח,מסעדה לא כשרה,גישה לתחבורה ציבורית,גינה חיצונית,שירות הזמן שולחן,לסילבסטר,"פתוח במוצ""ש",בר מסעדה,נגישות לנכים,פתוח בשבת,פתוח בשישי,קרייזי סאנדיי,מסעדות על הים,אזור עישון,Wi-fi,מסעדה בטבע,24 שעות,ציוד הגברה,מסעדות עם מקרן,חדרי ישיבות,עסק שומר שבת,מסעדה עם חניה מוסדרת,מסעדה עם חניה חינם,מזון מהיר,הסדרים לעסקים מוסדות ומפעלים,אוכל מוכן לשבת/ לקחת,לוקיישן לצילום,הדרכות/סדנאות,מסעדה כפרית,משלוחים,אפשרות ישיבה בחוץ,ימי הולדת,אירועים קטנים,מקום לאירועים,משלוחים חינם,הופעות חיות,מסעדה לאירועים וכנסים,מסעדות כשרות,חדר פרטי,ימי נישואין,מסעדה כשרה למהדרין,טאפאס בר,שירותי קייטרינג,ספורט בר,מלונות ובתי הארחה,בר-סלט,בר/פאב שכונתי,וידיאו קונפרנס,ימי כיף,קוקטייל,ערבי מחלקה,dog friendly,מסיבות רווקים/רווקות,"מסעדה כשרה בד""ץ",אירועים עד 20 איש,מסעדה עם מרתף יינות,אירועים עד 150 איש,אירועים עד 30 איש,אירועי בוטיק,ישיבות,ברים לאירועים,פונדק דרכים,בר-מיצים,עם סוכה,פאב אירי,אירועים מעל 300 איש,מסיבות חברה,כנסים,קריוקי בר,אירועים עד 100 איש,מסעדה עם לינה,burger club,אירועים עד 50 איש,ימי גיבוש,פוקימון,מבשלת בירה,ימי עיון,לארוחת סוכות,score,score_normalized 
80226306,מסעדת בוסתן,מסעדת בשרים,34,4,"(32.092526050000004, 34.96235117107479)",42,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6975654340743,0.7972815591540395
80245618,מנואל הכשרה - Manuel,מסעדה איטלקית,6,4.5,"(32.0991571, 34.8725149)",44,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.204518882313792,0.8840617968880976
80271631,קאן-קאי סושי ומטבח אסייאתי,מסעדה אסייאתית,8,4,"(32.0928376, 34.9661751)",675,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.924559564825889,0.8361383904849369
80311540,טומי מסעדה טבעונית - TOMMY VEGAN,מסעדה טבעונית,17,3.5,0,15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.993930176095564,0.676833349998919
80272248,אטמוספרה,מסעדת בשרים,34,4,"(31.8117073, 34.6474309)",29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6360371371729783,0.7867491517880164
80247523,פיקטיביה - סניף 32,בית קפה,2,4,"(32.5139948, 35.1196037)",7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2591896329019145,0.7222404358029542
41490270,Randevu - Randevu,מסעדה רוסית,30,3,"(31.98991365, 34.76708331849662)",4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0.510116085304393
80321938,פרליטה גדרה,מסעדה איטלקית,6,4.5,"(31.8152078, 34.7706927)",7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7591896329019145,0.8078303830016779
80339534,ג'ויה,מסעדה איטלקית,6,4,"(32.1589166, 34.8088984)",4,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,0.6812959797018403
80037158,מקום של בשר,מסעדת בשרים,34,4,"(32.063542, 34.768453)",185,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.855897934069614,0.8243848997829213
39333550,ברבוניה הכשרה - Barbunia,מסעדת דגים,35,5,"(32.0889203, 34.7734949)",1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0.6847195775897893
74416940,כרמים,מסעדת בשרים,34,3.5,"(31.6697258, 34.7791534)",293,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3854955773839506,0.743861474041159
