id,name,stars,location,num_of_reivews,שירות הזמן שולחן,"פתוח במוצ""ש",בר מסעדה,פתוח בשבת,פתוח בשישי,אזור עישון,Wi-fi,לסילבסטר,מסעדה בטבע,מסעדות על הים,Take Away,מסעדת שף,פתוח בפסח,מסעדה לא כשרה,סילבסטר,נגישות לנכים,קרייזי סאנדיי,ציוד הגברה,מסעדות עם מקרן,חדרי ישיבות,הדרכות/סדנאות,עסק שומר שבת,מסעדה עם חניה מוסדרת,אפשרות ישיבה בחוץ,מסעדות כשרות,מזון מהיר,הופעות חיות,גישה לתחבורה ציבורית,שירותי קייטרינג,חדר פרטי,מסעדה עם חניה חינם,גינה חיצונית,לוקיישן לצילום,מקרן ומסך,אירועים עד 200 איש,מסעדה לאירועים וכנסים,ראש השנה,סוכות,אירועי בוטיק,אירועים קטנים,בר/בת מצווה,ברית/בריתה,חתונות,ימי גיבוש,ימי הולדת,ימי כיף,ימי נישואין,ימי עיון,ישיבות,כנסים,מסיבות חברה,מסיבות עיתונאים,מסיבות רווקים/רווקות,ערבי מחלקה,קוקטייל,תערוכות,תצוגות אופנה,burger club,ברים לאירועים,אוכל מוכן לשבת/ לקחת,מסעדה כשרה למהדרין,משלוחים,הסדרים לעסקים מוסדות ומפעלים,מסעדה כפרית
80298781,מינא - MINA,3.5,,3,1,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80234050,ביגה - BiGA,3,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80222433,לנדוור מסעדה/ בית קפה,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80189826,בורגרים - Burgerim,,,0,,,,1,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
80339241,קפלה Cappella,,"(32.0700502, 34.7865257)",0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80147374,אריא - ARIA,4,"(32.061615, 34.77223)",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80323496,קאמאקורה - KAMAKURA,5,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80341875,קרייזי צ'יקן,5,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
80320675,מינה טומיי תל אביב,4,"(32.0704848, 34.7865199)",54,,,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
5425890,קפה רימון ירושלים - rimon,3,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80342734,מוזס שופ - Moses Shop,5,"(32.011148, 34.7781054)",2,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80136250,מיידל'ה,,"(32.0561805, 34.7712283)",0,,1,,1,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
80283777,שירת הבשר קיבוץ כנרת,4.5,,41,1,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
80030698,שיאן - Sheyan,4,"(31.7749561, 35.2167035)",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80311905,ספורה בר תל אביב,4.5,"(32.09642, 34.966567)",2,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80267782,ביף בר - BEEF BAR,3.5,"(32.2755355, 34.8627579)",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80344723,גרג,,"(32.3286181, 34.8566246)",0,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74416940,כרמים,3.5,"(31.6697258, 34.7791534)",293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
